lang,ell,method,op,bytes_per_patch,chars_per_patch,one_char_patch_rate,mid_char_split_rate,boundary_F1,morph_rate,interior_surprisal_bits,start_surprisal_bits
ja,3,byte-BLT,5,3.6829,1.2550,0.5983,0.6191,0.7212,0.3018,0.6200,2.4439
ja,3,byte-BLT,6,4.4125,1.5036,0.5756,0.5970,0.6926,0.2775,0.6685,2.6396
ja,3,byte-BLT,7,5.1534,1.7560,0.5441,0.5730,0.6673,0.2554,0.7054,2.8175
ja,3,byte-BLT,8,5.9267,2.0195,0.4962,0.5625,0.6295,0.2295,0.7441,2.9436
ja,3,CBLT-sqrtL,4,5.8497,1.9933,0.3404,0.0000,0.7914,0.5720,1.0052,1.6488
ja,3,CBLT-sqrtL,5,5.9476,2.0267,0.3302,0.0000,0.7917,0.5775,1.0027,1.6720
ja,3,CBLT-sqrtL,6,6.2795,2.1397,0.3022,0.0000,0.7801,0.5694,0.9989,1.7294
ja,3,CBLT-sqrtL,7,6.8865,2.3466,0.2573,0.0000,0.7519,0.5417,0.9946,1.8254
ja,3,CBLT-sqrtL,8,7.5824,2.5837,0.2170,0.0000,0.7185,0.5063,0.9927,1.9215
ar,2,byte-BLT,4,2.9465,1.6221,0.6357,0.6380,0.4398,0.0197,0.4148,1.8979
ar,2,byte-BLT,5,3.6904,2.0317,0.5251,0.6897,0.4547,0.0197,0.4715,2.1198
ar,2,byte-BLT,6,4.6461,2.5578,0.4102,0.7672,0.4550,0.0199,0.5225,2.3610
ar,2,byte-BLT,7,5.6917,3.1334,0.3325,0.8421,0.4474,0.0196,0.5622,2.5882
ar,2,byte-BLT,8,6.7948,3.7407,0.2838,0.8705,0.4299,0.0188,0.6020,2.7504
ar,2,CBLT-sqrtL,4,3.9578,2.1789,0.3650,0.0000,0.5093,0.0394,0.9303,0.8824
ar,2,CBLT-sqrtL,5,4.1636,2.2922,0.3354,0.0000,0.5268,0.0403,0.9171,0.9215
ar,2,CBLT-sqrtL,6,4.7767,2.6297,0.2749,0.0000,0.5689,0.0377,0.8946,1.0070
ar,2,CBLT-sqrtL,7,5.5463,3.0534,0.2117,0.0000,0.6112,0.0347,0.8842,1.0726
ar,2,CBLT-sqrtL,8,6.3412,3.4910,0.1615,0.0000,0.6445,0.0326,0.8802,1.1208
zh,3,byte-BLT,4,2.5656,0.9185,0.6879,0.4092,0.8019,0.4285,0.8952,2.7900
zh,3,byte-BLT,5,2.9072,1.0408,0.6883,0.3843,0.8102,0.4528,0.9700,2.8997
zh,3,byte-BLT,6,3.1828,1.1395,0.6712,0.3634,0.8139,0.4690,1.0290,2.9537
zh,3,byte-BLT,7,3.4252,1.2262,0.6543,0.3478,0.8121,0.4769,1.0693,3.0025
zh,3,byte-BLT,8,3.7378,1.3382,0.6259,0.3297,0.8068,0.4870,1.1195,3.0417
zh,3,CBLT-sqrtL,4,5.5083,1.9720,0.2865,0.0000,0.7984,0.5898,1.4397,2.5084
zh,3,CBLT-sqrtL,5,5.5475,1.9860,0.2819,0.0000,0.7983,0.5905,1.4393,2.5180
zh,3,CBLT-sqrtL,6,5.7583,2.0615,0.2594,0.0000,0.7885,0.5798,1.4423,2.5446
zh,3,CBLT-sqrtL,7,6.1188,2.1905,0.2239,0.0000,0.7702,0.5580,1.4498,2.5754
zh,3,CBLT-sqrtL,8,6.5565,2.3472,0.1887,0.0000,0.7478,0.5297,1.4587,2.6061
ko,3,byte-BLT,4,2.8130,1.1759,0.6119,0.4357,0.4847,0.0615,0.6836,2.2188
ko,3,byte-BLT,5,3.3828,1.4141,0.5423,0.4344,0.5188,0.0690,0.7431,2.3879
ko,3,byte-BLT,6,3.9022,1.6313,0.4849,0.4347,0.5467,0.0735,0.7858,2.5165
ko,3,byte-BLT,7,4.4039,1.8410,0.4438,0.4363,0.5693,0.0765,0.8189,2.6264
ko,3,byte-BLT,8,5.1031,2.1333,0.3992,0.4421,0.5958,0.0797,0.8574,2.7556
ko,3,CBLT-sqrtL,4,5.4305,2.2701,0.2222,0.0000,0.6495,0.0599,1.1179,1.7229
ko,3,CBLT-sqrtL,5,5.5302,2.3118,0.2097,0.0000,0.6567,0.0596,1.1149,1.7477
ko,3,CBLT-sqrtL,6,5.9488,2.4868,0.1669,0.0000,0.6835,0.0588,1.1103,1.8185
ko,3,CBLT-sqrtL,7,6.5972,2.7578,0.1192,0.0000,0.7196,0.0595,1.1093,1.9011
ko,3,CBLT-sqrtL,8,7.2511,3.0312,0.0867,0.0000,0.7516,0.0595,1.1111,1.9684
hi,3,byte-BLT,4,3.5841,1.3935,0.5310,0.8695,0.4655,0.0588,0.1451,2.0299
hi,3,byte-BLT,5,4.3852,1.7050,0.4950,0.8932,0.5080,0.0597,0.1879,2.3064
hi,3,byte-BLT,6,5.2781,2.0522,0.4556,0.9026,0.5523,0.0525,0.2259,2.5749
hi,3,byte-BLT,7,6.5377,2.5420,0.4127,0.9059,0.6030,0.0435,0.2637,2.9261
hi,3,byte-BLT,8,7.1754,2.7899,0.3737,0.9192,0.6289,0.0384,0.2829,3.0675
hi,3,CBLT-sqrtL,4,5.7805,2.2475,0.3222,0.0000,0.5773,0.0740,0.7051,0.5076
hi,3,CBLT-sqrtL,5,6.0842,2.3656,0.2907,0.0000,0.5959,0.0789,0.6984,0.5316
hi,3,CBLT-sqrtL,6,7.2240,2.8088,0.2045,0.0000,0.6481,0.0690,0.6821,0.6018
hi,3,CBLT-sqrtL,7,8.6323,3.3563,0.1346,0.0000,0.6996,0.0615,0.6724,0.6601
hi,3,CBLT-sqrtL,8,10.0667,3.9140,0.0916,0.0000,0.7365,0.0521,0.6673,0.7044
th,3,byte-BLT,4,3.8277,1.3230,0.5656,0.8621,0.5134,0.0442,0.1320,1.8847
th,3,byte-BLT,5,4.9766,1.7201,0.5340,0.8729,0.5285,0.0450,0.1804,2.2181
th,3,byte-BLT,6,6.1582,2.1285,0.4884,0.8798,0.5240,0.0470,0.2184,2.5062
th,3,byte-BLT,7,7.2821,2.5170,0.4282,0.8895,0.5173,0.0457,0.2465,2.7471
th,3,byte-BLT,8,8.2504,2.8517,0.3717,0.9135,0.5013,0.0399,0.2685,2.9197
th,3,CBLT-sqrtL,4,6.7173,2.3218,0.3043,0.0000,0.6333,0.2287,0.6067,0.4935
th,3,CBLT-sqrtL,5,7.6916,2.6585,0.2103,0.0000,0.6909,0.2908,0.5938,0.5636
th,3,CBLT-sqrtL,6,8.6181,2.9788,0.1615,0.0000,0.7295,0.3473,0.5858,0.6208
th,3,CBLT-sqrtL,7,9.5906,3.3149,0.1152,0.0000,0.7545,0.3972,0.5805,0.6701
th,3,CBLT-sqrtL,8,10.6156,3.6692,0.0753,0.0000,0.7716,0.4429,0.5768,0.7153
