lang,ell,method,op,theta,bytes_per_patch,chars_per_patch,one_char_patch_rate,mid_char_split_rate,boundary_F1,morph_rate,interior_surprisal_bits,start_surprisal_bits
ar,2,CBLT-sqrtL,7,0.5027,6.9996,3.8535,0.1276,0.0000,0.6627,0.0304,0.8792,1.1519
ar,2,byte-BLT,8,0.9609,7.9809,4.3938,0.2468,0.8890,0.4077,0.0174,0.6363,2.8862
ar,2,CBLT-sqrtL,8,0.6567,8.0003,4.4044,0.0805,0.0000,0.6786,0.0235,0.8798,1.1869
zh,3,byte-BLT,4,0.9375,4.0154,1.4375,0.5931,0.3135,0.7992,0.4916,1.1596,3.0633
zh,3,CBLT-sqrtL,4,-1.1263,4.0001,1.4321,0.5851,0.0000,0.8302,0.5717,1.4115,2.3004
zh,3,byte-BLT,5,1.1719,4.9869,1.7853,0.4825,0.2614,0.7654,0.4875,1.2684,3.0902
zh,3,CBLT-sqrtL,5,-0.2707,4.9999,1.7900,0.3606,0.0000,0.8157,0.6024,1.4314,2.4429
zh,3,byte-BLT,6,1.3262,6.0017,2.1486,0.3799,0.2141,0.7245,0.4693,1.3442,3.0819
zh,3,CBLT-sqrtL,6,0.1953,5.9988,2.1476,0.2352,0.0000,0.7765,0.5661,1.4470,2.5672
zh,3,byte-BLT,7,1.4297,6.9849,2.5006,0.3062,0.1756,0.6840,0.4474,1.3942,3.0672
zh,3,CBLT-sqrtL,7,0.5303,7.0002,2.5061,0.1561,0.0000,0.7254,0.5017,1.4670,2.6342
zh,3,byte-BLT,8,1.5098,7.9976,2.8632,0.2457,0.1488,0.6414,0.4169,1.4290,3.0662
zh,3,CBLT-sqrtL,8,0.7918,7.9997,2.8639,0.0999,0.0000,0.6739,0.4353,1.4840,2.6819
ko,3,byte-BLT,4,0.6582,3.9995,1.6719,0.4760,0.4343,0.5512,0.0746,0.7927,2.5389
ko,3,CBLT-sqrtL,4,-0.5420,4.0001,1.6722,0.4558,0.0000,0.5422,0.0665,1.1413,1.4934
ko,3,byte-BLT,5,0.8361,5.0001,2.0902,0.4055,0.4410,0.5923,0.0799,0.8523,2.7377
ko,3,CBLT-sqrtL,5,-0.1229,5.0001,2.0902,0.2760,0.0000,0.6221,0.0633,1.1228,1.6556
ko,3,byte-BLT,6,0.9780,6.0004,2.5084,0.3546,0.4500,0.6137,0.0780,0.8974,2.8894
ko,3,CBLT-sqrtL,6,0.1048,6.0002,2.5083,0.1625,0.0000,0.6863,0.0590,1.1100,1.8261
ko,3,byte-BLT,7,1.0781,7.0124,2.9314,0.3126,0.4626,0.6199,0.0748,0.9323,3.0154
ko,3,CBLT-sqrtL,7,0.3345,6.9999,2.9262,0.0978,0.0000,0.7396,0.0602,1.1104,1.9429
ko,3,byte-BLT,8,1.1490,7.9995,3.3441,0.2768,0.4788,0.6152,0.0726,0.9587,3.1237
ko,3,CBLT-sqrtL,8,0.5515,8.0004,3.3444,0.0618,0.0000,0.7813,0.0589,1.1137,2.0390
hi,3,byte-BLT,4,0.4148,4.0000,1.5552,0.5109,0.8845,0.4887,0.0604,0.1680,2.1800
hi,3,CBLT-sqrtL,4,-0.3524,4.0000,1.5552,0.5840,0.0000,0.4517,0.0431,0.7632,0.3944
hi,3,byte-BLT,5,0.6033,5.0000,1.9440,0.4676,0.9008,0.5392,0.0547,0.2154,2.4934
hi,3,CBLT-sqrtL,5,-0.0876,5.0000,1.9440,0.4281,0.0000,0.5269,0.0605,0.7250,0.4549
hi,3,byte-BLT,6,0.6836,5.9956,2.3312,0.4316,0.9018,0.5821,0.0471,0.2487,2.7807
hi,3,CBLT-sqrtL,6,0.0034,6.0001,2.3329,0.2980,0.0000,0.5911,0.0786,0.7002,0.5249
hi,3,byte-BLT,7,0.8188,7.0002,2.7218,0.3843,0.9165,0.6220,0.0401,0.2777,3.0309
hi,3,CBLT-sqrtL,7,0.0719,7.0000,2.7217,0.2191,0.0000,0.6389,0.0698,0.6845,0.5900
hi,3,byte-BLT,8,1.0044,7.9998,3.1104,0.3238,0.9292,0.6549,0.0358,0.3062,3.2244
hi,3,CBLT-sqrtL,8,0.1745,7.9998,3.1104,0.1618,0.0000,0.6784,0.0643,0.6758,0.6373
th,3,byte-BLT,4,0.3350,3.9991,1.3822,0.5622,0.8636,0.5175,0.0445,0.1397,1.9401
th,3,CBLT-sqrtL,4,-0.6139,4.0000,1.3825,0.6728,0.0000,0.4567,0.0731,0.6809,0.3170
th,3,byte-BLT,5,0.5029,4.9988,1.7278,0.5332,0.8727,0.5292,0.0453,0.1811,2.2245
th,3,CBLT-sqrtL,5,-0.2283,5.0000,1.7282,0.5099,0.0000,0.5275,0.1289,0.6424,0.3797
th,3,byte-BLT,6,0.6216,5.9999,2.0738,0.4953,0.8792,0.5245,0.0466,0.2141,2.4690
th,3,CBLT-sqrtL,6,-0.0384,6.0000,2.0738,0.3903,0.0000,0.5894,0.1861,0.6191,0.4436
th,3,byte-BLT,7,0.7031,7.0104,2.4231,0.4458,0.8824,0.5221,0.0476,0.2397,2.6945
th,3,CBLT-sqrtL,7,-0.0007,6.9999,2.4195,0.2700,0.0000,0.6507,0.2450,0.6025,0.5141
th,3,byte-BLT,8,0.8213,7.9998,2.7651,0.3854,0.9079,0.5049,0.0410,0.2632,2.8768
th,3,CBLT-sqrtL,8,0.0232,8.0000,2.7651,0.1937,0.0000,0.7060,0.3108,0.5908,0.5837
