lang,script,bytes_per_char,gold_type,method,theta_bits,theta_nats,bpp,F1,precision,recall,morph_rate,n_patches
ko,Hang,2.392,ws,monotonic,0.000,0.0000,5.4630,0.6520,0.4946,0.9562,0.0604,28885
ko,Hang,2.392,ws,monotonic,0.005,0.0035,5.5059,0.6550,0.4983,0.9555,0.0604,28660
ko,Hang,2.392,ws,monotonic,0.010,0.0069,5.5312,0.6568,0.5005,0.9552,0.0602,28529
ko,Hang,2.392,ws,monotonic,0.020,0.0139,5.5734,0.6597,0.5040,0.9544,0.0601,28313
ko,Hang,2.392,ws,monotonic,0.030,0.0208,5.6102,0.6620,0.5070,0.9535,0.0599,28127
ko,Hang,2.392,ws,monotonic,0.050,0.0347,5.6826,0.6665,0.5128,0.9517,0.0600,27769
ko,Hang,2.392,ws,monotonic,0.070,0.0485,5.7448,0.6704,0.5179,0.9503,0.0599,27468
ko,Hang,2.392,ws,monotonic,0.100,0.0693,5.8433,0.6769,0.5262,0.9486,0.0593,27005
ko,Hang,2.392,ws,monotonic,0.150,0.1040,5.9972,0.6861,0.5385,0.9450,0.0596,26312
ko,Hang,2.392,ws,monotonic,0.200,0.1386,6.1446,0.6941,0.5499,0.9409,0.0596,25681
ko,Hang,2.392,ws,monotonic,0.300,0.2079,6.4387,0.7107,0.5734,0.9345,0.0599,24508
ko,Hang,2.392,ws,monotonic,0.400,0.2773,6.7484,0.7276,0.5982,0.9282,0.0603,23383
ko,Hang,2.392,ws,monotonic,0.500,0.3466,7.0550,0.7422,0.6217,0.9208,0.0608,22367
ko,Hang,2.392,ws,monotonic,0.600,0.4159,7.3556,0.7562,0.6448,0.9142,0.0600,21453
ko,Hang,2.392,ws,monotonic,0.800,0.5545,8.0125,0.7818,0.6925,0.8974,0.0594,19694
ko,Hang,2.392,ws,monotonic,1.000,0.6931,8.6932,0.8023,0.7386,0.8781,0.0571,18152
ko,Hang,2.392,ws,monotonic,1.200,0.8318,9.3928,0.8174,0.7819,0.8562,0.0552,16800
ko,Hang,2.392,ws,monotonic,1.500,1.0397,10.4996,0.8315,0.8434,0.8199,0.0518,15029
hi,Deva,2.572,ws,monotonic,0.000,0.0000,5.8908,0.5845,0.4203,0.9592,0.0791,57220
hi,Deva,2.572,ws,monotonic,0.005,0.0035,6.0011,0.5912,0.4276,0.9575,0.0814,56169
hi,Deva,2.572,ws,monotonic,0.010,0.0069,6.0901,0.5962,0.4332,0.9557,0.0818,55348
hi,Deva,2.572,ws,monotonic,0.020,0.0139,6.2353,0.6037,0.4420,0.9519,0.0808,54059
hi,Deva,2.572,ws,monotonic,0.030,0.0208,6.3539,0.6095,0.4490,0.9486,0.0794,53050
hi,Deva,2.572,ws,monotonic,0.050,0.0347,6.5603,0.6194,0.4611,0.9430,0.0755,51381
hi,Deva,2.572,ws,monotonic,0.070,0.0485,6.7361,0.6274,0.4713,0.9381,0.0740,50040
hi,Deva,2.572,ws,monotonic,0.100,0.0693,6.9731,0.6377,0.4848,0.9315,0.0726,48339
hi,Deva,2.572,ws,monotonic,0.150,0.1040,7.3312,0.6524,0.5048,0.9216,0.0708,45978
hi,Deva,2.572,ws,monotonic,0.200,0.1386,7.6728,0.6663,0.5244,0.9137,0.0692,43931
hi,Deva,2.572,ws,monotonic,0.300,0.2079,8.3125,0.6895,0.5595,0.8981,0.0656,40550
hi,Deva,2.572,ws,monotonic,0.400,0.2773,8.9397,0.7088,0.5923,0.8824,0.0620,37705
hi,Deva,2.572,ws,monotonic,0.500,0.3466,9.6073,0.7262,0.6255,0.8653,0.0582,35085
hi,Deva,2.572,ws,monotonic,0.600,0.4159,10.2860,0.7404,0.6573,0.8475,0.0539,32770
hi,Deva,2.572,ws,monotonic,0.800,0.5545,11.7308,0.7563,0.7142,0.8038,0.0429,28734
hi,Deva,2.572,ws,monotonic,1.000,0.6931,13.4721,0.7609,0.7707,0.7512,0.0305,25020
hi,Deva,2.572,ws,monotonic,1.200,0.8318,15.4274,0.7544,0.8231,0.6963,0.0185,21849
hi,Deva,2.572,ws,monotonic,1.500,1.0397,18.4445,0.7224,0.8766,0.6143,0.0127,18275
ja,Jpan,2.935,mecab,monotonic,0.000,0.0000,5.8945,0.7915,0.8795,0.7195,0.5743,28350
ja,Jpan,2.935,mecab,monotonic,0.005,0.0035,5.9252,0.7920,0.8826,0.7182,0.5767,28203
ja,Jpan,2.935,mecab,monotonic,0.010,0.0069,5.9508,0.7917,0.8844,0.7165,0.5776,28082
ja,Jpan,2.935,mecab,monotonic,0.020,0.0139,5.9851,0.7913,0.8869,0.7142,0.5786,27921
ja,Jpan,2.935,mecab,monotonic,0.030,0.0208,6.0133,0.7906,0.8885,0.7120,0.5787,27790
ja,Jpan,2.935,mecab,monotonic,0.050,0.0347,6.0672,0.7890,0.8914,0.7078,0.5779,27543
ja,Jpan,2.935,mecab,monotonic,0.070,0.0485,6.1127,0.7872,0.8931,0.7037,0.5762,27338
ja,Jpan,2.935,mecab,monotonic,0.100,0.0693,6.1890,0.7842,0.8962,0.6970,0.5729,27001
ja,Jpan,2.935,mecab,monotonic,0.150,0.1040,6.3160,0.7785,0.9004,0.6857,0.5683,26458
ja,Jpan,2.935,mecab,monotonic,0.200,0.1386,6.4526,0.7721,0.9044,0.6736,0.5620,25898
ja,Jpan,2.935,mecab,monotonic,0.300,0.2079,6.7375,0.7590,0.9126,0.6497,0.5480,24803
ja,Jpan,2.935,mecab,monotonic,0.400,0.2773,7.0302,0.7446,0.9189,0.6259,0.5343,23770
ja,Jpan,2.935,mecab,monotonic,0.500,0.3466,7.3542,0.7285,0.9248,0.6009,0.5172,22723
ja,Jpan,2.935,mecab,monotonic,0.600,0.4159,7.6839,0.7137,0.9320,0.5783,0.5016,21748
ja,Jpan,2.935,mecab,monotonic,0.800,0.5545,8.4373,0.6783,0.9422,0.5299,0.4622,19806
ja,Jpan,2.935,mecab,monotonic,1.000,0.6931,9.2453,0.6424,0.9502,0.4852,0.4215,18075
ja,Jpan,2.935,mecab,monotonic,1.200,0.8318,10.1964,0.6030,0.9567,0.4403,0.3781,16389
ja,Jpan,2.935,mecab,monotonic,1.500,1.0397,11.8990,0.5407,0.9636,0.3758,0.3141,14044
zh,Hans,2.793,jieba,monotonic,0.000,0.0000,5.5262,0.7986,0.8620,0.7439,0.5906,21860
zh,Hans,2.793,jieba,monotonic,0.005,0.0035,5.5389,0.7986,0.8631,0.7430,0.5907,21810
zh,Hans,2.793,jieba,monotonic,0.010,0.0069,5.5491,0.7982,0.8635,0.7420,0.5903,21770
zh,Hans,2.793,jieba,monotonic,0.020,0.0139,5.5657,0.7976,0.8644,0.7404,0.5897,21705
zh,Hans,2.793,jieba,monotonic,0.030,0.0208,5.5873,0.7967,0.8653,0.7381,0.5889,21621
zh,Hans,2.793,jieba,monotonic,0.050,0.0347,5.6201,0.7955,0.8669,0.7350,0.5879,21495
zh,Hans,2.793,jieba,monotonic,0.070,0.0485,5.6535,0.7938,0.8679,0.7313,0.5859,21368
zh,Hans,2.793,jieba,monotonic,0.100,0.0693,5.7026,0.7911,0.8693,0.7258,0.5823,21184
zh,Hans,2.793,jieba,monotonic,0.150,0.1040,5.7800,0.7875,0.8720,0.7179,0.5789,20900
zh,Hans,2.793,jieba,monotonic,0.200,0.1386,5.8631,0.7835,0.8748,0.7095,0.5737,20604
zh,Hans,2.793,jieba,monotonic,0.300,0.2079,6.0248,0.7753,0.8796,0.6932,0.5649,20051
zh,Hans,2.793,jieba,monotonic,0.400,0.2773,6.2046,0.7661,0.8844,0.6758,0.5532,19470
zh,Hans,2.793,jieba,monotonic,0.500,0.3466,6.4100,0.7553,0.8893,0.6565,0.5401,18846
zh,Hans,2.793,jieba,monotonic,0.600,0.4159,6.6226,0.7442,0.8938,0.6375,0.5248,18241
zh,Hans,2.793,jieba,monotonic,0.800,0.5545,7.0931,0.7209,0.9040,0.5994,0.4967,17031
zh,Hans,2.793,jieba,monotonic,1.000,0.6931,7.5962,0.6951,0.9114,0.5618,0.4643,15903
zh,Hans,2.793,jieba,monotonic,1.200,0.8318,8.2012,0.6640,0.9166,0.5205,0.4251,14730
zh,Hans,2.793,jieba,monotonic,1.500,1.0397,9.2576,0.6161,0.9262,0.4615,0.3717,13049
th,Thai,2.893,pythainlp,monotonic,0.000,0.0000,7.1244,0.6582,0.5115,0.9232,0.2528,51212
th,Thai,2.893,pythainlp,monotonic,0.005,0.0035,7.5527,0.6833,0.5426,0.9226,0.2809,48308
th,Thai,2.893,pythainlp,monotonic,0.010,0.0069,7.6998,0.6912,0.5529,0.9218,0.2911,47385
th,Thai,2.893,pythainlp,monotonic,0.020,0.0139,7.8619,0.6996,0.5641,0.9207,0.3019,46408
th,Thai,2.893,pythainlp,monotonic,0.030,0.0208,7.9679,0.7046,0.5711,0.9195,0.3087,45791
th,Thai,2.893,pythainlp,monotonic,0.050,0.0347,8.1240,0.7112,0.5809,0.9169,0.3186,44911
th,Thai,2.893,pythainlp,monotonic,0.070,0.0485,8.2588,0.7169,0.5894,0.9147,0.3267,44178
th,Thai,2.893,pythainlp,monotonic,0.100,0.0693,8.4360,0.7233,0.5998,0.9109,0.3368,43250
th,Thai,2.893,pythainlp,monotonic,0.150,0.1040,8.6850,0.7316,0.6139,0.9050,0.3506,42010
th,Thai,2.893,pythainlp,monotonic,0.200,0.1386,8.9222,0.7386,0.6268,0.8988,0.3636,40893
th,Thai,2.893,pythainlp,monotonic,0.300,0.2079,9.3548,0.7497,0.6493,0.8869,0.3861,39002
th,Thai,2.893,pythainlp,monotonic,0.400,0.2773,9.8257,0.7597,0.6723,0.8732,0.4086,37133
th,Thai,2.893,pythainlp,monotonic,0.500,0.3466,10.3114,0.7674,0.6941,0.8578,0.4303,35384
th,Thai,2.893,pythainlp,monotonic,0.600,0.4159,10.7599,0.7727,0.7130,0.8433,0.4477,33909
th,Thai,2.893,pythainlp,monotonic,0.800,0.5545,11.6430,0.7747,0.7427,0.8097,0.4700,31337
th,Thai,2.893,pythainlp,monotonic,1.000,0.6931,12.6226,0.7672,0.7661,0.7683,0.4804,28905
th,Thai,2.893,pythainlp,monotonic,1.200,0.8318,13.7376,0.7490,0.7822,0.7185,0.4755,26559
th,Thai,2.893,pythainlp,monotonic,1.500,1.0397,15.9465,0.7060,0.8020,0.6306,0.4482,22880
